Wall time,Step,Value
1729075629.91872,860,1.0
1729075843.1449957,861,1.0
1729075857.5311515,862,1.0
1729075892.2619998,863,1.0
1729075931.9665163,864,0.0
1729076143.0761375,865,1.0
1729076218.060179,867,0.0
1729076221.7819512,868,1.0
1729076435.5140562,869,0.0
1729076484.7684088,870,0.0
1729076511.2599459,871,0.0
1729076532.5102737,872,0.0
1729076712.1531515,873,1.0
1729076717.5393662,874,1.0
1729076736.2474985,875,0.0
1729076744.3158634,876,1.0
1729076883.1002078,877,1.0
1729076894.0248106,878,0.0
1729076903.273293,879,0.0
1729077098.3398192,881,1.0
1729077110.5718203,882,1.0
1729077120.1930926,883,1.0
1729077125.8309803,884,1.0
1729077269.4366765,885,0.0
1729077291.1516619,886,1.0
1729077302.55969,887,0.0
1729077487.7134902,889,0.0
1729077527.5128288,891,0.0
1729077547.1686666,892,0.0
1729077687.8488758,893,1.0
1729077698.3293939,894,1.0
1729077727.601304,895,1.0
1729077739.6420233,896,1.0
1729077873.156737,897,1.0
1729077932.6329288,899,1.0
1729077942.6659207,900,1.0
1729078118.3578002,902,1.0
1729078160.0316875,904,1.0
1729078336.6868715,906,1.0
1729078368.1770258,907,1.0
1729078377.8171,908,1.0
1729078540.9538,910,1.0
1729078596.6274502,912,1.0
